account_id,account_name,industry,country,region,annual_revenue_band,account_type,account_tier,number_of_employees,is_active,created_date,last_activity_date
ACC-1108,Terra Fashion,Food & Beverage,Canada,North America,$10M to $100M,Customer,3,50000,1,2015-09-06,2024-09-08
ACC-1109,Lime Cosmetics,Sportswear,United Kingdom,Europe,Over $1B,Prospect,1,50000,1,2017-09-24,2024-12-11
ACC-1110,Teal Fashion,Beauty & Cosmetics,Australia,Australia,$500M to $1B,Prospect,1,50000,0,2016-08-27,2019-12-02
ACC-1111,Eclipse Entertainment,Entertainment,Australia,Australia,$500M to $1B,Prospect,1,50000,1,2022-05-31,2023-07-11
ACC-1112,Amber Holdings,Media & Publishing,India,India,Under $10M,Customer,3,10000,1,2015-08-03,2024-12-31
ACC-1113,Kappa Consumer,Financial Services,India,India,Under $10M,Customer,3,1000,1,2021-11-24,2024-12-15
ACC-1114,Omega Entertainment,Fashion & Apparel,Canada,North America,Under $10M,Customer,3,50,1,2022-09-11,2024-11-12
ACC-1115,Quad Apparel,Food & Beverage,Australia,Australia,$100M to $500M,Customer,2,500,1,2018-01-31,2024-12-31
ACC-1116,Quantum Consumer,Media & Publishing,Australia,Australia,$500M to $1B,Customer,1,10000,1,2016-02-11,2023-10-05
ACC-1117,Jetset Media,Retail,Italy,Europe,$10M to $100M,Prospect,3,10000,1,2019-08-22,2023-07-24
ACC-1118,Prism Media,Automotive,India,India,Over $1B,Prospect,1,50,1,2022-09-14,2023-04-09
ACC-1119,Kite Athletics,Sportswear,India,India,Over $1B,Prospect,1,50,1,2021-07-30,2024-12-31
ACC-1120,Wraith Athletics,Automotive,Canada,North America,Under $10M,Prospect,3,10000,1,2018-12-11,2022-11-30
ACC-1121,Carbon Fashion,Sportswear,India,India,$10M to $100M,Customer,3,50000,1,2021-06-09,2023-03-19
ACC-1122,Phi Fashion,Media & Publishing,Australia,Australia,$10M to $100M,Customer,3,500,1,2015-04-29,2024-05-22
ACC-1123,Aurora Retail,Entertainment,United Kingdom,Europe,Over $1B,Customer,1,200,1,2022-02-06,2024-05-14
ACC-1124,Muse Entertainment,Financial Services,India,India,$500M to $1B,Customer,1,50,1,2018-08-21,2023-05-28
ACC-1125,Whirl Entertainment,Media & Publishing,United States,North America,$10M to $100M,Customer,3,500,1,2022-06-04,2023-12-19
ACC-1126,Sand Consumer,Retail,Canada,North America,$100M to $500M,Customer,2,10000,1,2018-03-06,2024-10-18
ACC-1127,Glacier Foods,Beauty & Cosmetics,South Korea,Asia Pacific,Over $1B,Customer,1,500,1,2018-05-19,2024-12-09
ACC-1128,Dusk Entertainment,Fashion & Apparel,South Korea,Asia Pacific,$100M to $500M,Customer,2,50000,1,2019-04-07,2023-12-30
ACC-1129,Zenith Financial,Food & Beverage,Canada,North America,$100M to $500M,Customer,2,5000,1,2015-03-18,2024-09-10
ACC-1130,Obsidian Apparel,Automotive,China,Asia Pacific,Over $1B,Customer,1,5000,1,2015-03-27,2024-03-14
ACC-1131,Bliss Fashion,Food & Beverage,Canada,North America,$100M to $500M,Prospect,2,50000,1,2019-11-20,2022-07-10
ACC-1132,Craft Cosmetics,Food & Beverage,Germany,Europe,$100M to $500M,Customer,2,50000,1,2020-09-21,2024-09-07
ACC-1133,Kestrel Financial,Entertainment,Germany,Europe,$10M to $100M,Customer,3,10000,1,2017-03-19,2024-12-03
ACC-1134,Forge Entertainment,Financial Services,Singapore,Asia Pacific,$10M to $100M,Prospect,3,1000,1,2022-01-13,2024-12-03
ACC-1135,Delta Retail,Consumer Electronics,Australia,Australia,$100M to $500M,Prospect,2,50000,1,2018-06-25,2024-06-06
ACC-1136,Nest Retail,Sportswear,Australia,Australia,Over $1B,Customer,1,500,1,2020-01-17,2024-08-23
ACC-1137,Summit Sportswear,Retail,Italy,Europe,Over $1B,Customer,1,200,1,2018-11-07,2024-12-31
ACC-1138,Flare Sports,Financial Services,Singapore,Asia Pacific,$10M to $100M,Customer,3,50,1,2018-03-04,2024-07-16
ACC-1139,Kappa Consumer,Food & Beverage,Canada,North America,$10M to $100M,Customer,3,5000,1,2018-03-09,2024-12-27
ACC-1140,Torque Athletics,Food & Beverage,United States,North America,$100M to $500M,Prospect,2,10000,0,2022-05-11,2022-05-26
ACC-1141,Rho Fashion,Consumer Electronics,Australia,Australia,$100M to $500M,Customer,2,50,1,2022-07-07,2024-12-31
ACC-1142,Zephyr Athletics,Automotive,Australia,Australia,$10M to $100M,Prospect,3,50000,1,2018-06-19,2024-07-11
ACC-1143,Fuse Athletics,Beauty & Cosmetics,United Kingdom,Europe,$100M to $500M,Customer,2,5000,1,2016-02-19,2024-09-30
ACC-1144,Tau Media,Food & Beverage,Australia,Australia,$10M to $100M,Customer,3,50000,0,2016-09-23,2024-12-31
ACC-1145,Halo Sports,Financial Services,Canada,North America,$100M to $500M,Prospect,2,200,1,2019-12-25,2023-12-14
ACC-1146,Quill Media,Financial Services,Netherlands,Europe,$500M to $1B,Customer,1,1000,0,2020-03-06,2024-12-31
ACC-1147,Oasis Sports,Beauty & Cosmetics,Australia,Australia,$100M to $500M,Customer,2,50,1,2022-03-11,2024-01-24
ACC-1148,Yarn Entertainment,Retail,Canada,North America,$10M to $100M,Prospect,3,1000,1,2018-01-22,2023-11-29
ACC-1149,Oasis Sports,Beauty & Cosmetics,China,Asia Pacific,$10M to $100M,Prospect,3,50,1,2015-08-07,2024-12-31
ACC-1150,Niche Cosmetics,Fashion & Apparel,India,India,Under $10M,Customer,3,200,1,2016-07-17,2024-10-12
ACC-1151,Jupiter Automotive,Financial Services,Japan,Asia Pacific,$10M to $100M,Customer,3,10000,1,2017-11-14,2024-06-28
ACC-1152,Amber Holdings,Automotive,Canada,North America,Under $10M,Customer,3,5000,1,2016-05-14,2024-12-15
ACC-1153,Apex Sportswear,Sportswear,South Korea,Asia Pacific,$10M to $100M,Customer,3,200,1,2016-08-11,2024-06-14
ACC-1154,PeakWear Group,Entertainment,Canada,North America,$500M to $1B,Customer,1,500,1,2019-05-19,2024-03-28
ACC-1155,Petal Fashion,Fashion & Apparel,India,India,$100M to $500M,Customer,2,500,1,2022-05-15,2024-12-31
ACC-1156,Raven Entertainment,Food & Beverage,Australia,Australia,$100M to $500M,Customer,2,50,1,2022-10-19,2024-12-20
ACC-1157,Zinc Entertainment,Financial Services,Canada,North America,$500M to $1B,Customer,1,5000,1,2017-03-28,2023-12-22
ACC-1158,Cascade Beauty,Retail,South Korea,Asia Pacific,$10M to $100M,Customer,3,500,1,2018-03-17,2024-12-25
ACC-1159,Unison Consumer,Food & Beverage,China,Asia Pacific,Over $1B,Customer,1,500,0,2018-10-20,2024-12-31
ACC-1160,Raven Entertainment,Retail,India,India,$100M to $500M,Customer,2,500,1,2019-10-30,2024-08-26
ACC-1161,Iris Apparel,Food & Beverage,India,India,$100M to $500M,Customer,2,10000,1,2016-11-13,2024-12-05
ACC-1162,Wave Retail,Food & Beverage,Australia,Australia,$100M to $500M,Prospect,2,50000,1,2015-11-04,2023-03-20
ACC-1163,Falcon Apparel,Entertainment,United States,North America,Under $10M,Customer,3,500,1,2015-05-23,2022-05-24
ACC-1164,Zenith Financial,Media & Publishing,United States,North America,$10M to $100M,Customer,3,5000,1,2019-03-04,2024-05-16
ACC-1165,Scout Fashion,Food & Beverage,India,India,$100M to $500M,Customer,2,50,1,2017-02-01,2024-12-31
ACC-1166,Surge Apparel,Consumer Electronics,Singapore,Asia Pacific,Over $1B,Prospect,1,200,1,2022-10-13,2024-12-05
ACC-1167,Stellar Foods,Financial Services,United Kingdom,Europe,$10M to $100M,Customer,3,500,1,2022-06-28,2024-02-22
ACC-1168,Glacier Foods,Entertainment,Netherlands,Europe,Over $1B,Prospect,1,1000,1,2016-05-12,2024-12-11
ACC-1169,Stellar Foods,Retail,Australia,Australia,$500M to $1B,Prospect,1,10000,1,2021-11-11,2024-12-31
ACC-1170,Zeta Sports,Retail,Japan,Asia Pacific,Over $1B,Prospect,1,1000,1,2016-05-28,2024-10-27
ACC-1171,Titan Apparel,Food & Beverage,Germany,Europe,Over $1B,Customer,1,5000,1,2020-08-21,2024-12-31
ACC-1172,Horizon Fashion,Entertainment,Germany,Europe,$500M to $1B,Prospect,1,10000,0,2020-10-26,2021-05-16
ACC-1173,Sand Consumer,Consumer Electronics,Netherlands,Europe,$100M to $500M,Customer,2,200,1,2020-08-20,2024-07-30
ACC-1174,Zeta Sports,Media & Publishing,Australia,Australia,Under $10M,Customer,3,500,1,2015-04-27,2024-09-21
ACC-1175,Quest Fashion,Media & Publishing,Singapore,Asia Pacific,Over $1B,Prospect,1,50000,1,2022-03-14,2023-06-14
ACC-1176,Lumen Fashion,Consumer Electronics,South Korea,Asia Pacific,$10M to $100M,Prospect,3,5000,1,2019-12-06,2024-12-31
ACC-1177,Archon Retail,Food & Beverage,India,India,$100M to $500M,Prospect,2,50,1,2020-10-10,2024-04-02
ACC-1178,Amber Holdings,Beauty & Cosmetics,United Kingdom,Europe,$500M to $1B,Prospect,1,50000,0,2019-04-23,2024-11-04
ACC-1179,Magnet Athletics,Food & Beverage,Australia,Australia,Over $1B,Customer,1,500,1,2020-08-02,2024-07-19
ACC-1180,Cascade Beauty,Sportswear,South Korea,Asia Pacific,$10M to $100M,Prospect,3,5000,1,2021-07-17,2024-12-22
ACC-1181,Mast Fashion,Financial Services,India,India,$500M to $1B,Customer,1,500,1,2016-07-02,2023-01-02
ACC-1182,Ignite Apparel,Fashion & Apparel,Australia,Australia,$10M to $100M,Customer,3,500,1,2015-10-29,2024-02-23
ACC-1183,Flare Sports,Media & Publishing,Australia,Australia,$10M to $100M,Customer,3,500,1,2019-06-02,2024-12-31
ACC-1184,Omega Entertainment,Beauty & Cosmetics,Australia,Australia,Under $10M,Prospect,3,1000,1,2015-07-05,2024-07-09
ACC-1185,Yawn Sports,Entertainment,Australia,Australia,$10M to $100M,Customer,3,500,1,2016-10-27,2024-10-18
ACC-1186,Neon Cosmetics,Retail,Australia,Australia,$500M to $1B,Prospect,1,50,0,2020-04-29,2023-07-07
ACC-1187,Petal Fashion,Media & Publishing,India,India,Over $1B,Customer,1,10000,1,2017-12-23,2023-02-15
ACC-1188,Phi Fashion,Financial Services,Germany,Europe,$100M to $500M,Prospect,2,50,1,2015-05-10,2023-06-03
ACC-1189,Niche Cosmetics,Automotive,Germany,Europe,$500M to $1B,Customer,1,10000,1,2020-08-17,2024-12-31
ACC-1190,Pact Apparel,Entertainment,Australia,Australia,$100M to $500M,Prospect,2,200,1,2022-06-05,2024-07-08
ACC-1191,Quiver Retail,Retail,India,India,Over $1B,Customer,1,200,0,2017-02-26,2024-06-20
ACC-1192,Phoenix Cosmetics,Consumer Electronics,India,India,$10M to $100M,Prospect,3,5000,1,2020-05-19,2024-02-03
ACC-1193,Omega Entertainment,Automotive,Singapore,Asia Pacific,$10M to $100M,Prospect,3,1000,1,2015-06-22,2023-12-26
ACC-1194,Glacier Foods,Financial Services,Netherlands,Europe,$100M to $500M,Prospect,2,10000,1,2021-04-21,2024-05-16
ACC-1195,Niche Cosmetics,Beauty & Cosmetics,United States,North America,$10M to $100M,Prospect,3,50000,1,2016-02-15,2023-12-25
ACC-1196,Slate Entertainment,Retail,Italy,Europe,$10M to $100M,Prospect,3,10000,1,2022-04-18,2024-12-31
ACC-1197,Quartz Cosmetics,Sportswear,Australia,Australia,$10M to $100M,Customer,3,50,0,2016-12-18,2023-12-03
ACC-1198,Vent Cosmetics,Automotive,Japan,Asia Pacific,$10M to $100M,Prospect,3,500,1,2015-02-07,2024-04-19
ACC-1199,Luminos Beauty,Retail,Australia,Australia,$10M to $100M,Prospect,3,10000,1,2018-01-22,2024-12-31
ACC-1200,Ultima Beauty,Consumer Electronics,France,Europe,$100M to $500M,Prospect,2,50000,1,2021-05-14,2024-08-03
ACC-1201,Glacier Foods,Automotive,China,Asia Pacific,Under $10M,Customer,3,200,1,2022-07-04,2024-10-19
ACC-1202,Nest Retail,Automotive,France,Europe,$100M to $500M,Prospect,2,10000,1,2018-05-21,2024-12-27
ACC-1203,Vapor Fashion,Beauty & Cosmetics,United States,North America,$10M to $100M,Customer,3,10000,1,2016-10-16,2021-08-03
ACC-1204,Pulse Retail,Sportswear,India,India,Over $1B,Prospect,1,10000,0,2017-06-16,2024-11-02
ACC-1205,Teal Fashion,Food & Beverage,South Korea,Asia Pacific,$100M to $500M,Customer,2,50,1,2017-10-10,2023-08-28
ACC-1206,Wraith Athletics,Retail,India,India,$500M to $1B,Prospect,1,5000,1,2015-09-10,2023-12-13
ACC-1207,Xcel Cosmetics,Food & Beverage,Australia,Australia,$100M to $500M,Customer,2,50,1,2021-07-16,2024-03-24
ACC-1208,Xara Sportswear,Retail,Japan,Asia Pacific,$100M to $500M,Customer,2,1000,1,2021-04-07,2024-11-10
ACC-1209,Fuse Athletics,Fashion & Apparel,United Kingdom,Europe,$100M to $500M,Customer,2,50,0,2018-11-12,2023-11-28
ACC-1210,Eta Fashion,Financial Services,Canada,North America,$500M to $1B,Customer,1,500,0,2016-07-08,2024-12-31
ACC-1211,Fuse Athletics,Automotive,Japan,Asia Pacific,Over $1B,Prospect,1,50000,1,2022-08-28,2024-03-14
ACC-1212,Luxe Cosmetics,Entertainment,Australia,Australia,$500M to $1B,Customer,1,1000,1,2017-07-01,2024-06-03
ACC-1213,Phoenix Cosmetics,Retail,South Korea,Asia Pacific,$10M to $100M,Prospect,3,10000,1,2020-03-01,2024-01-17
ACC-1214,Solaris Entertainment,Fashion & Apparel,South Korea,Asia Pacific,Under $10M,Customer,3,10000,1,2015-10-03,2023-10-01
ACC-1215,Titan Apparel,Fashion & Apparel,Italy,Europe,$100M to $500M,Prospect,2,500,1,2017-08-17,2023-07-17
ACC-1216,Apex2 Sports,Media & Publishing,India,India,Over $1B,Prospect,1,500,1,2016-08-09,2024-07-03
ACC-1217,Zeta Sports,Retail,Australia,Australia,Over $1B,Customer,1,50000,1,2015-07-12,2024-05-09
ACC-1218,Onyx Entertainment,Automotive,China,Asia Pacific,$500M to $1B,Prospect,1,200,1,2017-01-23,2024-08-30
ACC-1219,Fusion Apparel,Entertainment,China,Asia Pacific,$100M to $500M,Prospect,2,500,1,2019-09-03,2024-11-24
